file,time,memory,fixed,moving,error
ants-benchmark.o693365.16,8081,10369908,0.75,0.4,
ants-benchmark.o693365.17,1.061e+04,11799568,0.7,0.4,
ants-benchmark.o693365.18,6639,9460468,0.8,0.4,
ants-benchmark.o693365.19,5419,7814128,0.9,0.4,
ants-benchmark.o693365.2,,32242548,0.4,0.3,Description: itk::ERROR: MultiThreader(0x4f5b5a0): Exception occurred during SingleMethodExecute itk::ERROR: MultiThreader(0x4f5b5a0): Unable to join thread.
ants-benchmark.o693365.20,1144,5015264,1.5,0.4,
ants-benchmark.o693365.21,4069,6747416,1,0.4,
ants-benchmark.o693365.22,631.8,4947396,2,0.4,
ants-benchmark.o693365.23,,31033036,0.3,0.5,
ants-benchmark.o693365.24,,31986064,0.4,0.5,itk::MemoryAllocationError (0x7fca34000940)
ants-benchmark.o693365.25,2.451e+04,23280192,0.5,0.5,
ants-benchmark.o693365.26,1.494e+04,14333572,0.6,0.5,
ants-benchmark.o693365.27,8044,8450212,0.75,0.5,
ants-benchmark.o693365.28,1.039e+04,9823716,0.7,0.5,
ants-benchmark.o693365.29,6426,7318936,0.8,0.5,
ants-benchmark.o693365.3,2.635e+04,30699420,0.5,0.3,
ants-benchmark.o693365.30,5311,5835388,0.9,0.5,
ants-benchmark.o693365.31,1266,2892792,1.5,0.5,
ants-benchmark.o693365.32,3907,4771096,1,0.5,
ants-benchmark.o693365.33,544.3,2587696,2,0.5,
ants-benchmark.o693365.34,,31021528,0.3,0.6,Description: itk::ERROR: MultiThreader(0x3db8dc0): Exception occurred during SingleMethodExecute itk::MemoryAllocationError (0x7f6a98000940)
ants-benchmark.o693365.35,,31120264,0.4,0.6,itk::MemoryAllocationError (0x7fb178000940)
ants-benchmark.o693365.36,2.401e+04,22347548,0.5,0.6,
ants-benchmark.o693365.37,1.537e+04,13461420,0.6,0.6,
ants-benchmark.o693365.38,7977,7535872,0.75,0.6,
ants-benchmark.o693365.39,1.033e+04,8953424,0.7,0.6,
ants-benchmark.o693365.4,1.55e+04,21746916,0.6,0.3,
ants-benchmark.o693365.40,6429,6459268,0.8,0.6,
ants-benchmark.o693365.41,5138,4933968,0.9,0.6,
ants-benchmark.o693365.42,1187,2027604,1.5,0.6,
ants-benchmark.o693365.43,3870,3924008,1,0.6,
ants-benchmark.o693365.44,540.4,1582256,2,0.6,
ants-benchmark.o693365.45,,30449276,0.3,0.75,Description: itk::ERROR: MultiThreader(0x35612b0): Exception occurred during SingleMethodExecute itk::MemoryAllocationError (0x7f783c000940)
ants-benchmark.o693365.46,,32363216,0.4,0.75,itk::MemoryAllocationError (0x7fe298000940)
ants-benchmark.o693365.47,2.398e+04,21838428,0.5,0.75,
ants-benchmark.o693365.48,1.486e+04,12878840,0.6,0.75,
ants-benchmark.o693365.49,7949,6951088,0.75,0.75,
ants-benchmark.o693365.5,8859,15812876,0.75,0.3,
ants-benchmark.o693365.50,1.03e+04,8383180,0.7,0.75,
ants-benchmark.o693365.51,6484,5851696,0.8,0.75,
ants-benchmark.o693365.52,5269,4333912,0.9,0.75,
ants-benchmark.o693365.53,1197,1467252,1.5,0.75,
ants-benchmark.o693365.54,3834,3312992,1,0.75,
ants-benchmark.o693365.55,524.5,993072,2,0.75,
ants-benchmark.o693365.56,,30588964,0.3,0.7,itk::MemoryAllocationError (0x7f9f68000940)
ants-benchmark.o693365.57,,32476944,0.4,0.7,itk::MemoryAllocationError (0x7f88bc000940)
ants-benchmark.o693365.58,2.414e+04,21985864,0.5,0.7,
ants-benchmark.o693365.59,1.544e+04,13020012,0.6,0.7,
ants-benchmark.o693365.6,1.064e+04,17237696,0.7,0.3,
ants-benchmark.o693365.60,7972,7101652,0.75,0.7,
ants-benchmark.o693365.61,1.032e+04,8516996,0.7,0.7,
ants-benchmark.o693365.62,6424,6024140,0.8,0.7,
ants-benchmark.o693365.63,5210,4506420,0.9,0.7,
ants-benchmark.o693365.64,1148,1603876,1.5,0.7,
ants-benchmark.o693365.65,3821,3473596,1,0.7,
ants-benchmark.o693365.66,493.7,1147108,2,0.7,
ants-benchmark.o693365.67,,30328424,0.3,0.8,itk::MemoryAllocationError (0x7f94d0000940)
ants-benchmark.o693365.68,,32250040,0.4,0.8,itk::MemoryAllocationError (0x7fce00000940)
ants-benchmark.o693365.69,2.376e+04,21731052,0.5,0.8,
ants-benchmark.o693365.7,6068,14739636,0.8,0.3,
ants-benchmark.o693365.70,1.469e+04,12781592,0.6,0.8,
ants-benchmark.o693365.71,7990,6897568,0.75,0.8,
ants-benchmark.o693365.72,1.044e+04,8263400,0.7,0.8,
ants-benchmark.o693365.73,6454,5746168,0.8,0.8,
ants-benchmark.o693365.74,5259,4266780,0.9,0.8,
ants-benchmark.o693365.75,1146,1359652,1.5,0.8,
ants-benchmark.o693365.76,3828,3224964,1,0.8,
ants-benchmark.o693365.77,510.4,887716,2,0.8,
ants-benchmark.o693365.78,,30222220,0.3,0.9,Description: itk::ERROR: MultiThreader(0x3caa3e0): Exception occurred during SingleMethodExecute itk::MemoryAllocationError (0x7fdc34000940)
ants-benchmark.o693365.79,,32086228,0.4,0.9,itk::MemoryAllocationError (0x7fb008000940)
ants-benchmark.o693365.8,5770,13215388,0.9,0.3,
ants-benchmark.o693365.80,2.411e+04,21591764,0.5,0.9,
ants-benchmark.o693365.81,1.457e+04,12626480,0.6,0.9,
ants-benchmark.o693365.82,7940,6780240,0.75,0.9,
ants-benchmark.o693365.83,1.038e+04,8145372,0.7,0.9,
ants-benchmark.o693365.84,6389,5684280,0.8,0.9,
ants-benchmark.o693365.85,5176,4123284,0.9,0.9,
ants-benchmark.o693365.86,1124,1199156,1.5,0.9,
ants-benchmark.o693365.87,3819,3113824,1,0.9,
ants-benchmark.o693365.88,533.8,740756,2,0.9,
ants-benchmark.o693365.89,,29928804,0.3,1.5,itk::MemoryAllocationError (0x7f212c000940)
ants-benchmark.o693365.9,1611,11647480,1.5,0.3,
ants-benchmark.o693365.90,,31801180,0.4,1.5,itk::MemoryAllocationError (0x7f8c08000940)
ants-benchmark.o693365.91,2.421e+04,21255932,0.5,1.5,
ants-benchmark.o693365.92,1.43e+04,12368900,0.6,1.5,
ants-benchmark.o693365.93,7993,6437732,0.75,1.5,
ants-benchmark.o693365.94,1.027e+04,7850816,0.7,1.5,
ants-benchmark.o693365.95,6412,5332160,0.8,1.5,
ants-benchmark.o693365.96,5197,3830320,0.9,1.5,
ants-benchmark.o693365.97,1052,941828,1.5,1.5,
ants-benchmark.o693365.98,3866,2802924,1,1.5,
ants-benchmark.o693365.99,482.2,465220,2,1.5,
